[39.0, 'State-gov', 77516.0, 'Bachelors', 13.0, 'Never-married', 'Adm-clerical', 'Not-in-family', 'White', 'Male', 2174.0, 0.0, 40.0, 'United-States', '<=50K']
[49.0, 'Private', 110243.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[17.0, 'Private', 181580.0, '11th', 7.0, 'Never-married', 'Other-service', 'Own-child', 'White', 'Female', 0.0, 0.0, 16.0, 'United-States', '<=50K']
[47.0, 'Private', 345493.0, 'Prof-school', 15.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'Asian-Pac-Islander', 'Male', 99999.0, 0.0, 55.0, 'Taiwan', '>50K']
[24.0, 'Self-emp-not-inc', 277700.0, 'Some-college', 10.0, 'Separated', 'Handlers-cleaners', 'Own-child', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '<=50K']
[45.0, 'Private', 168837.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Adm-clerical', 'Wife', 'White', 'Female', 0.0, 0.0, 24.0, 'Canada', '>50K']
[30.0, 'Private', 142675.0, '12th', 8.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[59.0, 'Private', 107833.0, '10th', 6.0, 'Married-civ-spouse', 'Transport-moving', 'Husband', 'White', 'Male', 0.0, 1485.0, 40.0, 'United-States', '>50K']
[47.0, 'Private', 121958.0, '7th-8th', 4.0, 'Married-spouse-absent', 'Other-service', 'Unmarried', 'White', 'Female', 0.0, 0.0, 30.0, 'United-States', '<=50K']
[46.0, 'Private', 34377.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[40.0, 'Self-emp-not-inc', 209833.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '<=50K']
[30.0, 'Local-gov', 125159.0, 'Bachelors', 13.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'Black', 'Male', 14084.0, 0.0, 45.0, '?', '>50K']
[44.0, 'Self-emp-not-inc', 147206.0, 'Some-college', 10.0, 'Never-married', 'Craft-repair', 'Own-child', 'White', 'Male', 0.0, 0.0, 12.0, 'United-States', '<=50K']
[58.0, 'Self-emp-not-inc', 93664.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 15024.0, 0.0, 60.0, 'United-States', '>50K']
[21.0, 'Private', 315065.0, '7th-8th', 4.0, 'Never-married', 'Other-service', 'Other-relative', 'White', 'Male', 0.0, 0.0, 48.0, 'Mexico', '<=50K']
[45.0, 'Private', 186272.0, '9th', 5.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'Black', 'Male', 5178.0, 0.0, 40.0, 'United-States', '>50K']
[30.0, 'Private', 312667.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Transport-moving', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[33.0, 'Private', 401104.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Handlers-cleaners', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[19.0, '?', 124884.0, '9th', 5.0, 'Never-married', '?', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 25.0, 'United-States', '<=50K']
[37.0, 'Local-gov', 287306.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Prof-specialty', 'Wife', 'Black', 'Female', 99999.0, 0.0, 40.0, '?', '>50K']
[53.0, 'Private', 113995.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[18.0, 'Private', 146378.0, 'Some-college', 10.0, 'Never-married', 'Other-service', 'Own-child', 'White', 'Female', 0.0, 0.0, 40.0, '?', '<=50K']
[38.0, 'Private', 111499.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Transport-moving', 'Husband', 'White', 'Male', 7298.0, 0.0, 50.0, 'United-States', '>50K']
[34.0, 'Private', 34374.0, 'Some-college', 10.0, 'Never-married', 'Other-service', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[45.0, 'Private', 162187.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 52.0, 'United-States', '>50K']
[33.0, 'Local-gov', 147654.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '<=50K']
[35.0, 'Private', 182467.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Craft-repair', 'Wife', 'White', 'Female', 0.0, 0.0, 44.0, 'United-States', '<=50K']
[38.0, 'Local-gov', 91711.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[33.0, 'Private', 198003.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 7298.0, 0.0, 50.0, 'United-States', '>50K']
[46.0, 'Private', 179048.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 35.0, '?', '<=50K']
[25.0, 'Private', 262778.0, 'Bachelors', 13.0, 'Never-married', 'Sales', 'Not-in-family', 'White', 'Female', 6849.0, 0.0, 50.0, 'United-States', '<=50K']
[32.0, 'Private', 164243.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Tech-support', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[17.0, 'Private', 262511.0, '11th', 7.0, 'Never-married', 'Sales', 'Own-child', 'White', 'Male', 0.0, 0.0, 20.0, 'United-States', '<=50K']
[39.0, 'Private', 173175.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 15024.0, 0.0, 50.0, 'United-States', '>50K']
[35.0, 'Self-emp-not-inc', 120301.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '<=50K']
[34.0, '?', 317219.0, 'Some-college', 10.0, 'Married-civ-spouse', '?', 'Wife', 'White', 'Female', 0.0, 0.0, 20.0, 'United-States', '>50K']
[51.0, 'Local-gov', 110965.0, 'Masters', 14.0, 'Never-married', 'Prof-specialty', 'Own-child', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[55.0, 'Self-emp-not-inc', 168625.0, 'Some-college', 10.0, 'Divorced', 'Tech-support', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 12.0, 'United-States', '>50K']
[26.0, 'Private', 33939.0, 'Some-college', 10.0, 'Never-married', 'Tech-support', 'Own-child', 'White', 'Male', 0.0, 0.0, 20.0, 'United-States', '<=50K']
[46.0, 'Private', 155659.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 15024.0, 0.0, 45.0, 'United-States', '>50K']
[32.0, 'Local-gov', 190228.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Other-service', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[60.0, 'Self-emp-not-inc', 88570.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Transport-moving', 'Wife', 'White', 'Female', 0.0, 0.0, 15.0, 'Germany', '>50K']
[40.0, 'Private', 273308.0, 'HS-grad', 9.0, 'Divorced', 'Machine-op-inspct', 'Unmarried', 'White', 'Female', 0.0, 0.0, 48.0, 'Mexico', '<=50K']
[38.0, 'Private', 179668.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[26.0, 'Private', 210812.0, 'Some-college', 10.0, 'Divorced', 'Craft-repair', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 43.0, 'United-States', '<=50K']
[34.0, 'Private', 155343.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 1848.0, 50.0, 'United-States', '>50K']
[46.0, 'Private', 308334.0, '1st-4th', 2.0, 'Widowed', 'Other-service', 'Unmarried', 'Other', 'Female', 0.0, 0.0, 30.0, 'Mexico', '<=50K']
[60.0, '?', 204486.0, 'Bachelors', 13.0, 'Married-civ-spouse', '?', 'Husband', 'White', 'Male', 0.0, 0.0, 8.0, 'United-States', '>50K']
[24.0, 'Private', 314823.0, 'HS-grad', 9.0, 'Never-married', 'Sales', 'Own-child', 'White', 'Male', 0.0, 0.0, 40.0, 'Dominican-Republic', '<=50K']
[29.0, 'Private', 114224.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[22.0, 'State-gov', 64292.0, 'Bachelors', 13.0, 'Never-married', 'Prof-specialty', 'Own-child', 'White', 'Female', 0.0, 0.0, 43.0, 'United-States', '<=50K']
[25.0, 'Private', 163620.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 7298.0, 0.0, 84.0, 'United-States', '>50K']
[29.0, 'Private', 194200.0, 'Some-college', 10.0, 'Never-married', 'Machine-op-inspct', 'Own-child', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '<=50K']
[33.0, 'Private', 135312.0, 'Bachelors', 13.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[31.0, 'Private', 100734.0, 'Doctorate', 16.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 28.0, 'United-States', '<=50K']
[30.0, 'Local-gov', 226443.0, 'Masters', 14.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 1887.0, 45.0, 'United-States', '>50K']
[55.0, 'Private', 110871.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[28.0, 'Private', 78870.0, 'Bachelors', 13.0, 'Never-married', 'Sales', 'Not-in-family', 'White', 'Male', 8614.0, 0.0, 40.0, 'United-States', '>50K']
[42.0, 'Private', 107762.0, 'Masters', 14.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[51.0, 'Private', 183611.0, 'Assoc-acdm', 12.0, 'Divorced', 'Exec-managerial', 'Unmarried', 'White', 'Male', 0.0, 0.0, 55.0, 'Germany', '<=50K']
[62.0, 'Local-gov', 249078.0, 'Bachelors', 13.0, 'Divorced', 'Prof-specialty', 'Not-in-family', 'Black', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[65.0, 'Self-emp-inc', 208452.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 35.0, 'United-States', '>50K']
[23.0, 'Private', 302195.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[47.0, 'Private', 379118.0, '7th-8th', 4.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'Black', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[50.0, 'Self-emp-inc', 174855.0, 'HS-grad', 9.0, 'Divorced', 'Exec-managerial', 'Unmarried', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[31.0, 'Private', 340917.0, 'HS-grad', 9.0, 'Never-married', 'Craft-repair', 'Unmarried', 'White', 'Male', 14344.0, 0.0, 40.0, 'United-States', '>50K']
[76.0, 'Private', 97077.0, '10th', 6.0, 'Widowed', 'Sales', 'Unmarried', 'Black', 'Female', 0.0, 0.0, 12.0, 'United-States', '<=50K']
[32.0, 'Federal-gov', 127651.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[31.0, 'Private', 315128.0, 'Some-college', 10.0, 'Never-married', 'Adm-clerical', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 52.0, 'United-States', '<=50K']
[31.0, 'Federal-gov', 206823.0, 'Bachelors', 13.0, 'Divorced', 'Protective-serv', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[65.0, 'Self-emp-not-inc', 316093.0, 'Prof-school', 15.0, 'Divorced', 'Prof-specialty', 'Not-in-family', 'White', 'Male', 0.0, 1668.0, 40.0, 'United-States', '<=50K']
[30.0, 'Private', 112115.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'Ireland', '>50K']
[63.0, '?', 203821.0, 'HS-grad', 9.0, 'Married-civ-spouse', '?', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[40.0, 'Federal-gov', 298635.0, 'Masters', 14.0, 'Married-civ-spouse', 'Tech-support', 'Husband', 'Asian-Pac-Islander', 'Male', 0.0, 1902.0, 40.0, 'Philippines', '>50K']
[26.0, 'State-gov', 109193.0, 'Some-college', 10.0, 'Never-married', 'Craft-repair', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[66.0, 'Local-gov', 222810.0, 'Some-college', 10.0, 'Divorced', 'Other-service', 'Other-relative', 'White', 'Female', 7896.0, 0.0, 40.0, '?', '>50K']
[44.0, 'Self-emp-not-inc', 27242.0, 'Some-college', 10.0, 'Never-married', 'Farming-fishing', 'Own-child', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '<=50K']
[31.0, 'Private', 164190.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[22.0, 'Private', 287988.0, 'Some-college', 10.0, 'Never-married', 'Sales', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 20.0, 'United-States', '<=50K']
[49.0, 'Private', 65087.0, 'Masters', 14.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 15024.0, 0.0, 50.0, 'United-States', '>50K']
[39.0, 'Self-emp-not-inc', 363418.0, 'Bachelors', 13.0, 'Separated', 'Craft-repair', 'Own-child', 'White', 'Male', 0.0, 0.0, 35.0, 'United-States', '<=50K']
[67.0, '?', 182378.0, 'Bachelors', 13.0, 'Married-civ-spouse', '?', 'Husband', 'White', 'Male', 9386.0, 0.0, 60.0, 'United-States', '>50K']
[19.0, 'Private', 278870.0, 'Some-college', 10.0, 'Never-married', 'Handlers-cleaners', 'Own-child', 'White', 'Male', 0.0, 0.0, 16.0, 'United-States', '<=50K']
[30.0, 'Private', 174789.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 1848.0, 50.0, 'United-States', '>50K']
[25.0, 'Private', 228608.0, 'Some-college', 10.0, 'Never-married', 'Craft-repair', 'Other-relative', 'Asian-Pac-Islander', 'Female', 0.0, 0.0, 40.0, 'Cambodia', '<=50K']
[58.0, 'Private', 188982.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Handlers-cleaners', 'Husband', 'Black', 'Male', 0.0, 0.0, 20.0, 'United-States', '>50K']
[48.0, 'Private', 175925.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 48.0, 'United-States', '<=50K']
[46.0, 'Self-emp-inc', 120121.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[36.0, 'Local-gov', 180805.0, 'HS-grad', 9.0, 'Never-married', 'Transport-moving', 'Not-in-family', 'Asian-Pac-Islander', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[51.0, 'Federal-gov', 282680.0, 'Doctorate', 16.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 1564.0, 70.0, 'United-States', '>50K']
[36.0, 'Private', 183892.0, 'HS-grad', 9.0, 'Divorced', 'Transport-moving', 'Not-in-family', 'White', 'Male', 8614.0, 0.0, 45.0, 'United-States', '>50K']
[33.0, 'Private', 209900.0, 'Some-college', 10.0, 'Never-married', 'Tech-support', 'Own-child', 'White', 'Male', 0.0, 0.0, 20.0, 'United-States', '<=50K']
[40.0, 'Private', 179717.0, 'Bachelors', 13.0, 'Divorced', 'Sales', 'Not-in-family', 'White', 'Male', 0.0, 1564.0, 60.0, 'United-States', '>50K']
[26.0, 'Private', 150361.0, 'Bachelors', 13.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[69.0, '?', 164102.0, 'HS-grad', 9.0, 'Divorced', '?', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '>50K']
[59.0, 'Private', 252714.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 30.0, 'Italy', '<=50K']
[30.0, 'Private', 205204.0, 'HS-grad', 9.0, 'Never-married', 'Adm-clerical', 'Own-child', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[30.0, 'Private', 112115.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[27.0, 'Private', 116531.0, 'Bachelors', 13.0, 'Never-married', 'Exec-managerial', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[47.0, 'Private', 168232.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Adm-clerical', 'Husband', 'White', 'Male', 0.0, 0.0, 44.0, 'United-States', '>50K']
[20.0, 'Private', 147171.0, 'Some-college', 10.0, 'Never-married', 'Adm-clerical', 'Unmarried', 'Asian-Pac-Islander', 'Female', 0.0, 0.0, 40.0, 'Vietnam', '<=50K']
[34.0, 'Self-emp-inc', 207668.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 54.0, '?', '>50K']
[31.0, 'Private', 193650.0, '11th', 7.0, 'Divorced', 'Other-service', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[53.0, 'Private', 29658.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[26.0, 'Private', 154966.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[81.0, 'Private', 364099.0, 'Some-college', 10.0, 'Divorced', 'Adm-clerical', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 20.0, 'United-States', '<=50K']
[28.0, '?', 291374.0, '10th', 6.0, 'Never-married', '?', 'Unmarried', 'Black', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[57.0, 'Federal-gov', 97837.0, 'Some-college', 10.0, 'Divorced', 'Prof-specialty', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 48.0, 'United-States', '>50K']
[34.0, 'Private', 117983.0, 'HS-grad', 9.0, 'Never-married', 'Adm-clerical', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[34.0, 'Private', 253438.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[31.0, 'Private', 150309.0, 'Bachelors', 13.0, 'Separated', 'Exec-managerial', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 70.0, 'United-States', '<=50K']
[60.0, 'Self-emp-not-inc', 376973.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 42.0, 'United-States', '>50K']
[75.0, 'Private', 311184.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 24.0, 'United-States', '<=50K']
[43.0, 'Private', 331894.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Transport-moving', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[18.0, 'Self-emp-not-inc', 40293.0, 'HS-grad', 9.0, 'Never-married', 'Farming-fishing', 'Other-relative', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[35.0, 'Private', 46385.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Transport-moving', 'Husband', 'White', 'Male', 5178.0, 0.0, 90.0, 'United-States', '>50K']
[41.0, 'State-gov', 363591.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[32.0, 'State-gov', 182556.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Protective-serv', 'Husband', 'White', 'Male', 0.0, 1887.0, 45.0, 'United-States', '>50K']
[33.0, 'Private', 267859.0, 'HS-grad', 9.0, 'Never-married', 'Craft-repair', 'Own-child', 'White', 'Male', 0.0, 0.0, 40.0, 'El-Salvador', '<=50K']
[42.0, 'Self-emp-not-inc', 174216.0, 'Prof-school', 15.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 38.0, 'United-States', '>50K']
[25.0, 'Private', 366416.0, 'HS-grad', 9.0, 'Never-married', 'Adm-clerical', 'Own-child', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[39.0, 'Private', 172538.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[35.0, 'Private', 193026.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[25.0, 'Local-gov', 179059.0, 'Bachelors', 13.0, 'Never-married', 'Prof-specialty', 'Own-child', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[47.0, 'Federal-gov', 99549.0, 'Some-college', 10.0, 'Divorced', 'Adm-clerical', 'Unmarried', 'Black', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[46.0, 'Private', 72619.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Exec-managerial', 'Wife', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '>50K']
[42.0, 'State-gov', 55764.0, 'Assoc-acdm', 12.0, 'Divorced', 'Prof-specialty', 'Not-in-family', 'Black', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[37.0, 'Private', 30267.0, '11th', 7.0, 'Never-married', 'Transport-moving', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[25.0, 'Private', 308144.0, 'Bachelors', 13.0, 'Never-married', 'Craft-repair', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 40.0, 'Mexico', '<=50K']
[45.0, 'Self-emp-inc', 142719.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[34.0, 'Private', 114973.0, 'HS-grad', 9.0, 'Separated', 'Exec-managerial', 'Unmarried', 'White', 'Female', 0.0, 0.0, 30.0, 'United-States', '<=50K']
[43.0, 'Private', 91209.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[28.0, 'Private', 196564.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '<=50K']
[46.0, 'Private', 55720.0, 'Masters', 14.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[38.0, 'Self-emp-inc', 257250.0, 'HS-grad', 9.0, 'Never-married', 'Farming-fishing', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[36.0, 'Private', 398931.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 1485.0, 50.0, 'United-States', '>50K']
[37.0, 'Self-emp-not-inc', 362062.0, 'Prof-school', 15.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 99999.0, 0.0, 50.0, 'United-States', '>50K']
[44.0, 'Local-gov', 101593.0, 'Masters', 14.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Male', 0.0, 1876.0, 42.0, 'United-States', '<=50K']
[33.0, 'Private', 196266.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[45.0, 'Local-gov', 197332.0, 'Bachelors', 13.0, 'Never-married', 'Exec-managerial', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[47.0, 'Private', 97842.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[54.0, 'Private', 86837.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'Asian-Pac-Islander', 'Male', 0.0, 1902.0, 40.0, 'United-States', '>50K']
[17.0, 'Private', 57324.0, '10th', 6.0, 'Never-married', 'Other-service', 'Own-child', 'White', 'Male', 0.0, 0.0, 30.0, 'United-States', '<=50K']
[43.0, 'Private', 116852.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Exec-managerial', 'Wife', 'White', 'Female', 0.0, 0.0, 36.0, 'Portugal', '>50K']
[45.0, 'Private', 154430.0, 'Bachelors', 13.0, 'Widowed', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 10520.0, 0.0, 50.0, 'United-States', '>50K']
[37.0, 'Private', 38468.0, 'Some-college', 10.0, 'Never-married', 'Adm-clerical', 'Not-in-family', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[44.0, 'Local-gov', 188808.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[55.0, 'Local-gov', 177163.0, 'Masters', 14.0, 'Widowed', 'Prof-specialty', 'Unmarried', 'White', 'Female', 914.0, 0.0, 50.0, 'United-States', '<=50K']
[41.0, 'Private', 187322.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 48.0, 'United-States', '<=50K']
[35.0, 'Private', 360799.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'White', 'Male', 7298.0, 0.0, 40.0, 'United-States', '>50K']
